id,cd_setor,cod_ibge,cd_uf,total_population,avg_income,pct_u20,pct_o60,pct_wy,pct_bbi,pct_lit,pct_pip,pct_sew,pct_gar,pct_slight,pct_paved,pct_tree,pct_drain,pct_swalk,pct_whcair,pct_bus,igni,ehtd,eprd,edrm,city_type,CRI
16,110012205000168,110012.0,11.0,693.0,1377.25,57.86435786435786,6.782106782106782,,,82.1067821067821,,40.458015267175576,,100.0,100.0,66.41221374045801,100.0,100.0,98.85496183206106,0.0,0.0,1.2666666666666666,3.333333333333333,0.0,Capital Regional,0.2967603266197274
18,110012205000004,110012.0,11.0,510.0,3453.48,19.215686274509803,19.607843137254903,42.15686274509804,57.84313725490196,85.88235294117646,99.5260663507109,4.265402843601896,100.0,100.0,93.8388625592417,88.15165876777252,45.49763033175356,98.1042654028436,32.85024154589372,1.4218009478672986,0.0666666666666666,0.8666666666666667,3.333333333333333,0.0666666666666666,Capital Regional,0.305784929748583
19,110012205000004,110012.0,11.0,510.0,3453.48,19.215686274509803,19.607843137254903,42.15686274509804,57.84313725490196,85.88235294117646,99.5260663507109,4.265402843601896,100.0,100.0,93.8388625592417,88.15165876777252,45.49763033175356,98.1042654028436,32.85024154589372,1.4218009478672986,0.0666666666666666,0.8666666666666667,3.333333333333333,0.0666666666666666,Capital Regional,0.305784929748583
20,110004905000101,110004.0,11.0,846.0,2921.13,36.17021276595744,5.555555555555555,35.57919621749409,64.4208037825059,71.39479905437352,100.0,97.02970297029702,99.33993399339934,98.67986798679868,100.0,98.67986798679868,48.84488448844885,100.0,97.35973597359737,0.0,0.0,1.6666666666666667,3.6,0.0,Capital Regional,0.3170673313815149
24,110018905000043,110018.0,11.0,1163.0,1642.73,28.89079965606191,6.878761822871883,26.13929492691316,57.007738607050726,56.31986242476354,100.0,0.9287925696594428,,100.0,61.49068322981366,80.49535603715171,7.763975155279503,56.2111801242236,14.3646408839779,0.0,0.4,1.2,3.533333333333333,0.0,Centro Sub-Regional,0.1689350196562325
25,110030405000154,110030.0,11.0,871.0,1941.51,41.446613088404135,4.133180252583237,30.65442020665901,69.34557979334099,68.42709529276694,100.0,0.0,100.0,97.74436090225564,99.62406015037594,53.00751879699248,96.99248120300751,90.97744360902256,16.52892561983471,0.0,1.3333333333333333,0.0666666666666666,3.6666666666666665,0.0,Centro Sub-Regional,0.2292503598610538
28,110030405000156,110030.0,11.0,1223.0,1546.78,45.78904333605888,3.515944399018806,,77.43254292722814,,100.0,0.0,100.0,100.0,100.0,58.51648351648352,100.0,85.71428571428571,0.0,0.0,2.1333333333333333,0.0,3.6666666666666665,0.0,Centro Sub-Regional,0.2171059673823537
29,110030405000106,110030.0,11.0,1362.0,1351.93,46.91629955947136,3.303964757709251,,,,100.0,0.0,100.0,100.0,100.0,67.16791979949875,87.21804511278195,100.0,0.0,0.0,2.1333333333333333,0.0,3.6666666666666665,0.0,Centro Sub-Regional,0.2223066866137651
71,110030405000092,110030.0,11.0,1025.0,2634.15,25.26829268292683,13.560975609756095,47.51219512195122,,79.8048780487805,100.0,8.24468085106383,100.0,100.0,99.20212765957449,91.75531914893617,14.893617021276595,97.0744680851064,69.31506849315069,0.0,1.3333333333333333,0.0666666666666666,3.6666666666666665,0.0,Centro Sub-Regional,0.2855632549035439
699,110028805000083,110028.0,11.0,1022.0,1426.53,42.759295499021526,5.283757338551859,28.57142857142857,71.0371819960861,,99.40828402366864,,100.0,99.70414201183432,100.0,97.63313609467455,48.22485207100592,100.0,26.035502958579883,0.0,0.1333333333333333,0.7333333333333333,3.866666666666666,0.1333333333333333,Centro Sub-Regional,0.2421120813094498
