id,data_referencia,cod_ibge,txt_nome_municipio,txt_sigla_uf,txt_regiao,dt_assinatura,cod_operacao,txt_nome_empreendimento,txt_nome_agente_financeiro,txt_modalidade,txt_situacao_empreendimento,qtd_uh,qtd_uh_entregues,qtd_uh_vigentes,qtd_uh_distratadas,val_contratado_total,val_desembolsado,txt_cnpj_construtora_entidade,txt_nome_construtora_entidade,txt_endereco,txt_cep,year,addr2geocode,city_type,fmtd_addr,lat,lng
3585,30/09/2024,293330,Vitória da Conquista ,BA,Nordeste,2013-02-25,39590705,RESIDENCIAL MARGARIDA,CAIXA,FAR,Concluído,300,300.0,0,0,19.200.000,19.200.000,2207503000168.0,E2 ENGENHARIA E EMPREENDIMENTOS LTDA,AV DR. JADIEL MATOS (ESTRADA DOS CAMPINHOS) S/N LT A,,2013,"RESIDENCIAL MARGARIDA, AV DR. JADIEL MATOS (ESTRADA DOS CAMPINHOS) S/N LT A, Vitória da Conquista , BA",Capital Regional,"Campinhos, Vitória da Conquista - BA, 45066, Brazil",-14.8811098,-40.8854522
3586,30/09/2024,351890,Guzolândia ,SP,Sudeste,2018-02-06,48762096,BAIRRO JARDIM AMERICA,CAIXA,FAR,Concluído,55,55.0,0,0,5.499.945,5.499.945,11943710000171.0,ECOVITA INOCORPORADORA E CONSTRUTORA LTDA,RUA DO JOAO MARINO E VICINAL ERMINIO TOGNOLI,15355000.0,2018,"88XM+J7 Guzolândia, SP, Brazil",Centro Local,"88XM+J7 Guzolândia, SP",-20.6509375,-50.6668125
3587,30/09/2024,330170,Duque de Caxias ,RJ,Sudeste,2011-12-26,36564835,RESIDENCIAL VOLTERRA,CAIXA,FAR,Concluído,500,500.0,0,0,31.498.306,"31.498.305,59",19403252000190.0,CONSTRUTORA EMCCAMP - S/A,"ESTRADA DO CALUNDU,700",25040610.0,2011,"7M2G+49 Pantanal, Duque de Caxias - RJ, Brazil",Centro Local,"7M2G+49 Pantanal, Duque de Caxias - RJ",-22.7496875,-43.3240625
3588,30/09/2024,420930,Lages ,SC,Sul,2010-04-30,30960767,VALENTIM ELISBOA ANACLETO - TOZZO,CAIXA,FAR,Concluído,240,240.0,0,0,10.959.627,"10.959.626,7",3869219000110.0,MARA KAUFMANN CONSTRUCOES E INCORPORACOES LTDA,"RUA JOSE MARIA RIBAS PINTO, LAGES,SC",88514303.0,2010,"VALENTIM ELISBOA ANACLETO - TOZZO, RUA JOSE MARIA RIBAS PINTO, LAGES,SC, Lages , SC 88514303",Capital Regional,"R. Jose Maria Ribas Pinto, 610 - Promorar, Lages - SC, 88514-303, Brazil",-27.8311153,-50.3548655
3589,30/09/2024,411340,Leópolis ,PR,Sul,2018-05-25,49201459,RESIDENCIAL PORTAL DO PARANAPANEMA,CAIXA,FAR,Concluído,50,50.0,0,0,3.325.000,3.325.000,4176720000163.0,PIZOLATO CONSTRUTORA E INCORPORADORA LTDA,PROLONGAMENTO DA RUA FRANCISCO SILVA S/NRES,,2018,"H47P+2HW, Paranapanema - State of São Paulo, 18720-000, Brazil",Centro Local,"H47P+2HW, Paranapanema - State of São Paulo, 18720-000, Brazil",-23.4373875,-48.8635469
3590,30/09/2024,350760,Bragança Paulista ,SP,Sudeste,2014-07-24,41101232,CJ HAB MARCELO STEFANI I. II. III. E IV ANTIG BRG G,CAIXA,FAR,Concluído,712,712.0,0,0,62.649.456,"62.649.455,07",46924239000159.0,CONSTRUTORA ELECON LTDA,AV ROSA RAFFANTI CECCHETINI,12927130.0,2014,"CJ HAB MARCELO STEFANI I. II. III. E IV ANTIG BRG G, AV ROSA RAFFANTI CECCHETINI, Bragança Paulista , SP 12927130",Centro Sub-Regional,"Lotes Urbanizados - Av. João Rubens Valle, 587 - Loteamento, Bragança Paulista - SP, 12929-128, Brazil",-22.918573,-46.5316537
3591,30/09/2024,292740,Salvador ,BA,Nordeste,2018-10-10,44347273,RES PARAGUARI 1,CAIXA,FAR,Concluído,404,404.0,0,0,33.128.000,33.128.000,7773925000114.0,GRAFICO INCORPORADORA LTDA,RUA MANOEL LINO SN,40726390.0,2018,"RES PARAGUARI 1, RUA MANOEL LINO SN, Salvador , BA 40726390",Metrópole,"R. das Pedrinhas - Periperi, Salvador - BA, 40750, Brazil",-12.860332199999998,-38.4567638
3592,30/09/2024,291080,Feira de Santana ,BA,Nordeste,2013-01-29,39113809,RESIDENCIAL ASA BRANCA 5,CAIXA,FAR,Concluído,504,504.0,0,0,32.163.874,"32.163.874,28",13959986000173.0,SERTENGE SERVICOS TECNICOS ENG ESPECIALIZADA SA,AVENIDA ASA BRANCA S_N,44000100.0,2013,"RESIDENCIAL ASA BRANCA 5, AVENIDA ASA BRANCA S_N, Feira de Santana , BA 44000100",Capital Regional,"Residencial - Av. Asa Branca, 4 - S_N - Asa Branca, Feira de Santana - BA, 44046-200, Brazil",-12.1960987,-38.996618100000006
3593,30/09/2024,316310,São José da Varginha ,MG,Sudeste,2014-09-15,42906881,CONJUNTO HABITACIONAL GERALDO XAVIER,CAIXA,FAR,Concluído,100,100.0,0,0,6.500.000,6.500.000,89448000123.0,MEVRA CONSTRUTORA LTDA,RUA DOIS S/N SAO JOSE DA VARGINHA,30190131.0,2014,"7CGV+V4, São José da Varginha - MG, 35694-000, Brazil",Centro Local,"7CGV+V4, São José da Varginha - MG, 35694-000, Brazil",-19.7228125,-44.5571875
3594,30/09/2024,120040,Rio Branco ,AC,Norte,2012-06-27,38048923,RESIDENCIAL ANDIRA,CAIXA,FAR,Concluído,42,42.0,0,0,2.068.500,2.068.500,9122239000109.0,SILTY CONSTRUCAO E COMERCIO LTDA,RESIDENCIAL ANDIRA,,2012,"RESIDENCIAL ANDIRA, RESIDENCIAL ANDIRA, Rio Branco , AC",Capital Regional,"R. Cegonha, Rio Branco - AC, Brazil",-9.9272169,-67.81714649999999
3595,30/09/2024,293290,Valença ,BA,Nordeste,2013-09-26,40929731,RESIDENCIAL NOVA VALENCA,CAIXA,FAR,Concluído,380,380.0,0,0,22.800.000,22.800.000,8782693000123.0,ELITE ENGENHARIA LTDA - EPP,RUA DAS CAMELIAS,,2013,"JXR2+4V - Valença, State of Bahia, 45400-000, Brazil",Centro Sub-Regional,"JXR2+4V - Valença, State of Bahia, 45400-000, Brazil",-13.3596875,-39.0478125
